IDKSIP,year,date,hour,district,district_commune,road_category,road_number,type_of_road,road_geometry,area,Longitude,Latitude,char_place_of_the_event,weather_conditions,lighting,type_of_accident,num_of_accidents,num_of_fatalities,num_of_injured,type_of_injury,is_offender_intoxicated,,,,,,,,,,
EWK-98377996Y,2014,2014-08-21,22,POWIAT SZYDŁOWIECKI,CHLEWISKA - OBSZAR WIEJSKI,Droga wojewódzka,727,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,20.7867222222222,51.25,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,1,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98378985X,2014,2014-08-24,0,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.9581111111111,52.7745277777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98378985X,2014,2014-08-24,0,POWIAT OSTROWSKI,OSTRÓW MAZOWIECKA - OBSZAR WIEJSKI,Droga gminna,GMINNA,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar zabudowany,21.9581111111111,52.7745277777778,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98381207H,2014,2014-08-24,20,POWIAT PŁOCKI,SŁUPNO - OBSZAR WIEJSKI,Droga krajowa,62,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,19.8229166666667,52.5159166666667,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,T,,,,,,,,,,
EWK-98381207H,2014,2014-08-24,20,POWIAT PŁOCKI,SŁUPNO - OBSZAR WIEJSKI,Droga krajowa,62,Jednojezdniowa dwukierunkowa,,Obszar niezabudowany,19.8229166666667,52.5159166666667,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),T,,,,,,,,,,
EWK-98393537F,2014,2014-09-02,21,POWIAT PUŁTUSKI,PUŁTUSK - OBSZAR WIEJSKI,Droga wojewódzka,571,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.0423888888889,52.6780833333333,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,N,,,,,,,,,,
EWK-98393537F,2014,2014-09-02,21,POWIAT PUŁTUSKI,PUŁTUSK - OBSZAR WIEJSKI,Droga wojewódzka,571,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.0423888888889,52.6780833333333,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98406647W,2014,2014-09-12,22,POWIAT OSTROWSKI,MAŁKINIA GÓRNA - OBSZAR WIEJSKI,Droga wojewódzka,627,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.9993611111111,52.7375833333333,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Ciężko,N,,,,,,,,,,
EWK-98406647W,2014,2014-09-12,22,POWIAT OSTROWSKI,MAŁKINIA GÓRNA - OBSZAR WIEJSKI,Droga wojewódzka,627,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.9993611111111,52.7375833333333,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,0,Nieokreślone (puste pole),N,,,,,,,,,,
EWK-98411221K,2014,2014-09-17,20,POWIAT LIPSKI,CIEPIELÓW - OBSZAR WIEJSKI,Droga krajowa,79,Jednojezdniowa dwukierunkowa,Odcinek prosty,Obszar niezabudowany,21.6109722222222,51.2944166666667,Jezdnia,Dobre warunki atmosferyczne,Noc - droga nieoświetlona,Najechanie na pieszego,1,0,1,Lekko,T,,,,,,,,,,
